Time (sec),Conc Ea (mol/L)
0,0.05
10,0.10253300035676059
20,0.09664645023189442
30,0.09218694256154121
40,0.08817338565822334
50,0.08380306814127722
60,0.08077060292543703
70,0.0776489475561898
80,0.07425972172672139
90,0.07113806635747413
100,0.06962183374955053
110,0.06721369960756332
120,0.06507313592579379
130,0.06328933285765252
140,0.06159471994291831
150,0.05998929718159115
160,0.05856225472707814
170,0.05695683196575098
180,0.05570816981804855
190,0.054548697823757986
200,0.053478415982874124
210,0.05240813414198914
220,0.051248662147695384
230,0.05017838030681198
240,0.04785943631823047
250,0.04714591509097383
260,0.04652158401712446
270,0.0456296824830529
280,0.04491616125579718
290,0.04429183018194784
300,0.04348911880128375
310,0.04304316803424902
320,0.042418836960399484
330,0.04188369603995716
340,0.04111666072065583
350,0.04074206207634677
360,0.040099892971815744
370,0.03962718515875846
380,0.03918123439172315
390,0.03877987870139137
400,0.03829825187299319
410,0.03783446307527648
420,0.03740635033892257
430,0.036915804495183696
440,0.03667499108098466
450,0.03631823046735641
460,0.035943631823046725
470,0.03581876560827685
480,0.035649304316803423
490,0.03514983945772382
500,0.035033892258294695
510,0.03461469853728147
520,0.034329290046378885
530,0.034017124509454155
540,0.033740635033892276
550,0.0333749554049233
560,0.033125222975383506
570,0.03284873349982162
580,0.03262575811630397
590,0.03239386371744559
600,0.03222440242597217
610,0.03208169818052087
620,0.031769532643596145
630,0.03164466642882626
640,0.031278986799857286
650,0.031189796646450232
660,0.03094898323225115
670,0.030797359971459163
680,0.030485194434534436
690,0.030467356403853025
700,0.030288976097038896
710,0.03003924366749911
720,0.02987870139136639
730,0.02965572600784873
740,0.029557616839100964
750,0.02929896539422048
760,0.029093828041384235
770,0.02899571887263646
780,0.028808419550481634
790,0.028674634320371033
800,0.02854084909026043
810,0.02839814484480913
820,0.028282197645379946
830,0.02811273635390654
840,0.02799678915447734
850,0.028077060292543702
860,0.027889760970388876
870,0.027809489832322516
880,0.027729218694256156
890,0.027595433464145554
900,0.027443810203353552
910,0.02724759186585801
920,0.027211915804495293
930,0.027078130574384584
940,0.02691758829825188
950,0.026676774884052797
960,0.026739207991437756
970,0.02662326079200856
980,0.026551908669282916
990,0.026400285408490896
1000,0.026186229040313952
1010,0.026302176239743135
1020,0.02605244381020335
1030,0.025945415626114868
1040,0.025954334641455586
1050,0.025936496610774188
1060,0.025767035319300746
1070,0.025749197288619345
1080,0.025499464859079557
1090,0.025517302889760972
1100,0.025330003567606136
1110,0.025392436674991078
1120,0.025312165536924735
1130,0.025214056368176953
1140,0.02518729932215487
1150,0.025026757046022113
1160,0.02503567606136283
1170,0.024821619693185887
1180,0.024785943631823203
