Time (sec),Conc Ea (mol/L),Temperature (degC)
0.0,0.05,47.0
10.0,0.04308216953556349,47.0
20.0,0.03510880155894878,47.0
30.0,0.030172133809678467,47.0
40.0,0.026104254628126017,47.0
50.0,0.022978239688210462,47.0
60.0,0.02034751542708672,47.0
70.0,0.018244559922052615,47.0
80.0,0.016547580383241316,47.0
90.0,0.014988632672945763,47.0
100.0,0.013730107177655526,47.0
110.0,0.012569015914258326,47.0
120.0,0.011667749269243298,47.0
130.0,0.010774602143553197,47.0
140.0,0.00987333549853879,47.0
150.0,0.00929684962650211,47.0
160.0,0.008639168561221202,47.0
170.0,0.00809516076648263,47.0
180.0,0.007599870087690813,47.0
190.0,0.007153296524845734,47.0
200.0,0.006706722962000651,47.0
210.0,0.006252029879831121,47.0
220.0,0.005951607664826241,47.0
230.0,0.005569990256576815,47.0
240.0,0.005253329002923031,47.0
250.0,0.004952906787918153,47.0
260.0,0.004733679766157846,47.0
270.0,0.004400779473855159,47.0
280.0,0.004189671971419293,47.0
290.0,0.004002923026956801,47.0
300.0,0.0037512179278986688,47.0
