Conductivity (mS/cm),Time (sec)
11.42 ,0.00
11.25 ,5.00
11.06 ,10.00
10.87 ,15.00
10.72 ,20.00
10.56 ,25.00
10.41 ,30.00
10.26 ,35.00
10.12 ,40.00
9.990 ,45.00
9.862 ,50.00
9.764 ,55.00
9.646 ,60.00
9.512 ,65.00
9.405 ,70.00
9.301 ,75.00
9.200 ,80.00
9.103 ,85.00
9.016 ,90.00
8.927 ,95.00
8.840 ,100.00
8.757 ,105.00
8.677 ,110.00
8.600 ,115.00
8.525 ,120.00
8.467 ,125.00
8.396 ,130.00
8.329 ,135.00
8.264 ,140.00
8.200 ,145.00
8.138 ,150.00
8.078 ,155.00
8.032 ,160.00
7.976 ,165.00
7.919 ,170.00
7.866 ,175.00
7.815 ,180.00
7.765 ,185.00
7.725 ,190.00
7.677 ,195.00
7.631 ,200.00
7.585 ,205.00
7.541 ,210.00
7.499 ,215.00
7.456 ,220.00
7.421 ,225.00
7.381 ,230.00
7.342 ,235.00
7.306 ,240.00
7.269 ,245.00
7.233 ,250.00
7.197 ,255.00
7.170 ,260.00
7.137 ,265.00
7.083 ,270.00
7.052 ,275.00
7.019 ,280.00
6.988 ,285.00
6.959 ,290.00
6.932 ,295.00
6.902 ,300.00
6.873 ,305.00
6.845 ,310.00
6.819 ,315.00
6.791 ,320.00
6.766 ,325.00
6.745 ,330.00
6.721 ,335.00
6.696 ,340.00
6.672 ,345.00
6.648 ,350.00
6.625 ,355.00
6.608 ,360.00
6.586 ,365.00
6.562 ,370.00
6.543 ,375.00
6.521 ,380.00
6.501 ,385.00
6.479 ,390.00
6.463 ,395.00
6.444 ,400.00
6.426 ,405.00
6.406 ,410.00
6.387 ,415.00
6.368 ,420.00
6.351 ,425.00
6.336 ,430.00
6.318 ,435.00
6.303 ,440.00
6.283 ,445.00
6.267 ,450.00
6.250 ,455.00
6.234 ,460.00
6.222 ,465.00
6.207 ,470.00
6.191 ,475.00
6.176 ,480.00
6.161 ,485.00
6.147 ,490.00
6.133 ,495.00
6.118 ,500.00
6.102 ,505.00
6.089 ,510.00
6.075 ,515.00
6.063 ,520.00
6.051 ,525.00
6.041 ,530.00
6.026 ,535.00
6.015 ,540.00
6.004 ,545.00
5.991 ,550.00
5.979 ,555.00
5.965 ,560.00
5.957 ,565.00
5.945 ,570.00
5.933 ,575.00
5.922 ,580.00
5.910 ,585.00
5.898 ,590.00
5.888 ,595.00
5.879 ,600.00
5.869 ,605.00
5.858 ,610.00
5.846 ,615.00
5.836 ,620.00
5.827 ,625.00
5.818 ,630.00
5.808 ,635.00
5.799 ,640.00
5.791 ,645.00
5.781 ,650.00
5.770 ,655.00
5.762 ,660.00
5.753 ,665.00
5.746 ,670.00
5.736 ,675.00
5.727 ,680.00
5.719 ,685.00
5.712 ,690.00
5.714 ,695.00
5.705 ,700.00
5.686 ,705.00
5.689 ,710.00
5.680 ,715.00
