Conductivity (mS/cm),Time (sec)
14.53 ,0.00
14.29 ,10.00
13.94 ,20.00
13.57 ,30.00
13.16 ,40.00
12.75 ,50.00
12.41 ,60.00
12.06 ,70.00
11.75 ,80.00
11.47 ,90.00
11.22 ,100.00
10.98 ,110.00
10.74 ,120.00
10.40 ,130.00
10.20 ,140.00
10.03 ,150.00
9.846 ,160.00
9.677 ,170.00
9.545 ,180.00
9.407 ,190.00
9.261 ,200.00
9.143 ,210.00
9.041 ,220.00
8.917 ,230.00
8.804 ,240.00
8.704 ,250.00
8.611 ,260.00
8.556 ,270.00
8.461 ,280.00
8.373 ,290.00
8.295 ,300.00
8.230 ,310.00
8.149 ,320.00
8.086 ,330.00
8.012 ,340.00
7.956 ,350.00
7.901 ,360.00
7.847 ,370.00
7.787 ,380.00
7.734 ,390.00
7.677 ,400.00
7.649 ,410.00
7.586 ,420.00
7.546 ,430.00
7.495 ,440.00
7.460 ,450.00
7.409 ,460.00
7.379 ,470.00
7.342 ,480.00
7.294 ,490.00
7.261 ,500.00
7.225 ,510.00
7.184 ,520.00
7.148 ,530.00
7.137 ,540.00
7.099 ,550.00
7.067 ,560.00
7.038 ,570.00
7.007 ,580.00
6.987 ,590.00
6.949 ,600.00
6.916 ,610.00
6.905 ,620.00
6.881 ,630.00
6.862 ,640.00
6.832 ,650.00
6.799 ,660.00
6.787 ,670.00
6.756 ,680.00
6.731 ,690.00
6.710 ,700.00
6.706 ,710.00
6.685 ,720.00
6.668 ,730.00
6.642 ,740.00
6.618 ,750.00
6.607 ,760.00
6.591 ,770.00
6.564 ,780.00
6.542 ,790.00
6.532 ,800.00
6.513 ,810.00
6.500 ,820.00
6.492 ,830.00
6.475 ,840.00
6.460 ,850.00
6.451 ,860.00
6.435 ,870.00
6.407 ,880.00
6.404 ,890.00
6.375 ,900.00
6.367 ,910.00
6.358 ,920.00
6.343 ,930.00
6.333 ,940.00
6.316 ,950.00
6.310 ,960.00
6.291 ,970.00
6.285 ,980.00
6.278 ,990.00
6.268 ,1000.00
6.251 ,1010.00
6.239 ,1020.00
6.229 ,1030.00
6.229 ,1040.00
6.203 ,1050.00
6.202 ,1060.00
6.181 ,1070.00
6.177 ,1080.00
6.168 ,1090.00
6.155 ,1100.00
6.149 ,1110.00
6.127 ,1120.00
6.132 ,1130.00
6.119 ,1140.00
6.110 ,1150.00
6.097 ,1160.00
6.089 ,1170.00
6.077 ,1180.00
6.078 ,1190.00
6.063 ,1200.00
6.054 ,1210.00
6.051 ,1220.00
6.045 ,1230.00
6.047 ,1240.00
6.041 ,1250.00
6.031 ,1260.00
6.030 ,1270.00
6.024 ,1280.00
6.015 ,1290.00
6.001 ,1300.00
5.996 ,1310.00
5.983 ,1320.00
5.958 ,1330.00
5.957 ,1340.00
5.949 ,1350.00
5.934 ,1360.00
5.932 ,1370.00
5.932 ,1380.00
5.924 ,1390.00
5.912 ,1400.00
5.911 ,1410.00
5.900 ,1420.00
5.898 ,1430.00
5.885 ,1440.00
5.890 ,1450.00
5.877 ,1460.00
5.868 ,1470.00
5.862 ,1480.00
5.857 ,1490.00
5.855 ,1500.00
5.843 ,1510.00
5.840 ,1520.00
5.835 ,1530.00
5.829 ,1540.00
5.818 ,1550.00
5.812 ,1560.00
5.812 ,1570.00
5.809 ,1580.00
5.809 ,1590.00
5.796 ,1600.00
5.786 ,1610.00
5.784 ,1620.00
5.782 ,1630.00
5.783 ,1640.00
5.772 ,1650.00
5.768 ,1660.00
5.765 ,1670.00
5.758 ,1680.00
5.759 ,1690.00
5.749 ,1700.00
5.746 ,1710.00
5.741 ,1720.00
5.737 ,1730.00
5.731 ,1740.00
5.723 ,1750.00
5.729 ,1760.00
5.716 ,1770.00
5.709 ,1780.00
5.713 ,1790.00
5.706 ,1800.00
5.703 ,1810.00
5.701 ,1820.00
5.691 ,1830.00
5.697 ,1840.00
5.699 ,1850.00
5.693 ,1860.00
5.692 ,1870.00
5.687 ,1880.00
5.681 ,1890.00
5.681 ,1900.00
5.673 ,1910.00
5.671 ,1920.00
5.667 ,1930.00
5.664 ,1940.00
5.661 ,1950.00
5.656 ,1960.00
5.655 ,1970.00
5.652 ,1980.00
5.650 ,1990.00
5.646 ,2000.00
5.641 ,2010.00
5.634 ,2020.00
5.635 ,2030.00
5.633 ,2040.00
5.629 ,2050.00
5.623 ,2060.00
5.625 ,2070.00
5.619 ,2080.00
5.614 ,2090.00
5.613 ,2100.00
5.609 ,2110.00
5.603 ,2120.00
5.609 ,2130.00
5.598 ,2140.00
5.601 ,2150.00
5.594 ,2160.00
5.590 ,2170.00
5.591 ,2180.00
5.590 ,2190.00
5.577 ,2200.00
5.583 ,2210.00
5.580 ,2220.00
5.566 ,2230.00
5.572 ,2240.00
5.567 ,2250.00
5.567 ,2260.00
5.565 ,2270.00
5.562 ,2280.00
5.557 ,2290.00
5.556 ,2300.00
5.557 ,2310.00
5.546 ,2320.00
5.547 ,2330.00
5.547 ,2340.00
5.541 ,2350.00
5.535 ,2360.00
5.541 ,2370.00
5.531 ,2380.00
5.531 ,2390.00
5.525 ,2400.00
5.523 ,2410.00
5.528 ,2420.00
5.528 ,2430.00
5.525 ,2440.00
5.525 ,2450.00
5.515 ,2460.00
5.517 ,2470.00
5.511 ,2480.00
5.515 ,2490.00
5.510 ,2500.00
5.514 ,2510.00
5.503 ,2520.00
5.504 ,2530.00
5.499 ,2540.00
5.495 ,2550.00
5.492 ,2560.00
5.495 ,2570.00
5.491 ,2580.00
5.489 ,2590.00
5.488 ,2600.00
5.486 ,2610.00
5.485 ,2620.00
5.481 ,2630.00
5.480 ,2640.00
5.473 ,2650.00
5.474 ,2660.00
5.471 ,2670.00
5.474 ,2680.00
5.472 ,2690.00
5.471 ,2700.00
5.478 ,2710.00
5.462 ,2720.00
5.463 ,2730.00
5.465 ,2740.00
5.459 ,2750.00
5.458 ,2760.00
