Conductivity (mS/cm),Time (sec)
10.58 ,0.00
10.42 ,5.00
10.19 ,10.00
9.919 ,15.00
9.630 ,20.00
9.343 ,25.00
9.075 ,30.00
8.860 ,35.00
8.624 ,40.00
8.414 ,45.00
8.213 ,50.00
8.035 ,55.00
7.867 ,60.00
7.706 ,65.00
7.568 ,70.00
7.439 ,75.00
7.329 ,80.00
7.212 ,85.00
7.097 ,90.00
6.991 ,95.00
6.884 ,100.00
6.796 ,105.00
6.702 ,110.00
6.616 ,115.00
6.549 ,120.00
6.466 ,125.00
6.412 ,130.00
6.349 ,135.00
6.280 ,140.00
6.215 ,145.00
6.150 ,150.00
6.099 ,155.00
6.046 ,160.00
5.995 ,165.00
5.942 ,170.00
5.910 ,175.00
5.864 ,180.00
5.815 ,185.00
5.758 ,190.00
5.720 ,195.00
5.677 ,200.00
5.642 ,205.00
5.605 ,210.00
5.570 ,215.00
5.542 ,220.00
5.508 ,225.00
5.486 ,230.00
5.457 ,235.00
5.426 ,240.00
5.397 ,245.00
5.368 ,250.00
5.340 ,255.00
5.316 ,260.00
5.296 ,265.00
5.271 ,270.00
5.248 ,275.00
5.223 ,280.00
5.199 ,285.00
5.177 ,290.00
5.155 ,295.00
5.136 ,300.00
5.114 ,305.00
5.108 ,310.00
5.087 ,315.00
5.071 ,320.00
5.051 ,325.00
5.032 ,330.00
5.016 ,335.00
4.999 ,340.00
4.984 ,345.00
4.966 ,350.00
4.948 ,355.00
4.937 ,360.00
4.923 ,365.00
4.908 ,370.00
4.895 ,375.00
4.882 ,380.00
4.867 ,385.00
4.852 ,390.00
4.839 ,395.00
4.826 ,400.00
4.815 ,405.00
4.803 ,410.00
4.790 ,415.00
4.777 ,420.00
4.766 ,425.00
4.764 ,430.00
4.752 ,435.00
4.742 ,440.00
4.732 ,445.00
4.721 ,450.00
4.711 ,455.00
4.701 ,460.00
4.691 ,465.00
4.681 ,470.00
4.672 ,475.00
4.663 ,480.00
4.653 ,485.00
4.644 ,490.00
4.637 ,495.00
4.629 ,500.00
4.622 ,505.00
4.611 ,510.00
4.604 ,515.00
4.595 ,520.00
4.587 ,525.00
4.580 ,530.00
4.572 ,535.00
4.566 ,540.00
4.558 ,545.00
4.550 ,550.00
4.543 ,555.00
4.536 ,560.00
4.530 ,565.00
4.522 ,570.00
4.516 ,575.00
4.508 ,580.00
4.503 ,585.00
4.497 ,590.00
4.490 ,595.00
4.484 ,600.00
4.478 ,605.00
4.473 ,610.00
4.466 ,615.00
4.460 ,620.00
4.454 ,625.00
4.449 ,630.00
4.444 ,635.00
4.439 ,640.00
4.434 ,645.00
4.429 ,650.00
4.423 ,655.00
4.417 ,660.00
4.412 ,665.00
4.414 ,670.00
4.410 ,675.00
4.405 ,680.00
4.399 ,685.00
4.395 ,690.00
4.391 ,695.00
4.386 ,700.00
4.381 ,705.00
4.376 ,710.00
4.372 ,715.00
4.368 ,720.00
4.363 ,725.00
4.360 ,730.00
4.356 ,735.00
4.351 ,740.00
4.347 ,745.00
4.343 ,750.00
4.338 ,755.00
4.334 ,760.00
4.330 ,765.00
4.327 ,770.00
4.323 ,775.00
4.319 ,780.00
4.316 ,785.00
4.311 ,790.00
4.308 ,795.00
4.304 ,800.00
4.301 ,805.00
4.298 ,810.00
4.294 ,815.00
4.291 ,820.00
4.288 ,825.00
4.284 ,830.00
4.280 ,835.00
4.277 ,840.00
4.274 ,845.00
4.271 ,850.00
4.267 ,855.00
4.264 ,860.00
4.261 ,865.00
4.259 ,870.00
4.256 ,875.00
4.252 ,880.00
4.249 ,885.00
4.246 ,890.00
4.243 ,895.00
4.241 ,900.00
4.238 ,905.00
4.235 ,910.00
4.232 ,915.00
4.230 ,920.00
4.227 ,925.00
4.224 ,930.00
4.222 ,935.00
4.219 ,940.00
4.217 ,945.00
4.213 ,950.00
4.212 ,955.00
4.210 ,960.00
4.207 ,965.00
4.204 ,970.00
4.202 ,975.00
4.199 ,980.00
4.197 ,985.00
4.195 ,990.00
4.192 ,995.00
4.190 ,1000.00
4.187 ,1005.00
4.185 ,1010.00
4.183 ,1015.00
4.180 ,1020.00
4.178 ,1025.00
4.176 ,1030.00
4.174 ,1035.00
4.171 ,1040.00
4.170 ,1045.00
4.167 ,1050.00
4.165 ,1055.00
4.163 ,1060.00
4.161 ,1065.00
4.160 ,1070.00
4.158 ,1075.00
4.156 ,1080.00
4.153 ,1085.00
4.151 ,1090.00
4.150 ,1095.00
4.148 ,1100.00
4.146 ,1105.00
4.144 ,1110.00
4.142 ,1115.00
4.140 ,1120.00
4.138 ,1125.00
4.136 ,1130.00
4.135 ,1135.00
4.134 ,1140.00
4.132 ,1145.00
4.130 ,1150.00
4.127 ,1155.00
4.126 ,1160.00
4.125 ,1165.00
4.122 ,1170.00
4.121 ,1175.00
4.119 ,1180.00
4.117 ,1185.00
4.116 ,1190.00
4.114 ,1195.00
4.112 ,1200.00
4.111 ,1205.00
4.109 ,1210.00
4.108 ,1215.00
4.107 ,1220.00
4.105 ,1225.00
4.103 ,1230.00
4.102 ,1235.00
4.101 ,1240.00
4.099 ,1245.00
4.097 ,1250.00
4.095 ,1255.00
4.095 ,1260.00
4.093 ,1265.00
4.092 ,1270.00
4.090 ,1275.00
4.089 ,1280.00
4.088 ,1285.00
4.087 ,1290.00
4.085 ,1295.00
4.084 ,1300.00
4.082 ,1305.00
4.081 ,1310.00
4.080 ,1315.00
4.079 ,1320.00
4.077 ,1325.00
4.076 ,1330.00
4.074 ,1335.00
4.073 ,1340.00
4.072 ,1345.00
4.071 ,1350.00
4.070 ,1355.00
4.068 ,1360.00
4.067 ,1365.00
4.066 ,1370.00
4.065 ,1375.00
4.064 ,1380.00
4.063 ,1385.00
3.584 ,1390.00
