Minutes,Time (sec),Conductivity (mS/cm),Difference,Temp degC,
0:00,0,7.36,,47,0.05 NaOH
1:40,100,4.045,-3.315,,0.05 ethyl acetate
3:20,200,3.43,-0.615,,
5:00,300,3.182,-0.248,,
6:40,400,3.042,-0.14,,
8:20,500,2.965,-0.077,,
10:00,600,2.908,-0.057,,
11:40,700,2.869,-0.039,,
13:20,800,2.837,-0.032,,
15:00,900,2.816,-0.021,,
16:40,1000,2.799,-0.017,,
18:20,1100,2.783,-0.016,,
20:00,1200,2.772,-0.011,,
21:40,1300,2.764,-0.008,,
23:20,1400,2.756,-0.008,,
25:00:00,1500,2.750,-0.006,,
26:40:00,1600,2.744,-0.006,,
28:20:00,1700,2.737,-0.007,,
30:00:00,1800,2.733,-0.004,,
31:40:00,1900,2.733,0,,
33:20:00,2000,2.730,-0.003,,
35:00:00,2100,2.728,-0.002,,
36:40:00,2200,2.725,-0.003,,
38:20:00,2300,2.726,0.001,,
40:00:00,2400,2.726,0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
